Case Number,ID,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,Ward,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
JA347081,23442,07/14/2017 12:26:00 AM,002XX W 95TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0511,21,01A,1176165,1841939,2017,07/21/2017 03:52:41 PM,41.721635699,-87.630334974,"(41.721635699, -87.630334974)"
JA255920,23273,05/08/2017 07:56:00 PM,054XX S INDIANA AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0231,3,01A,1178525,1868953,2017,07/21/2017 03:50:41 PM,41.795711923,-87.620871293,"(41.795711923, -87.620871293)"
JA346838,23441,07/13/2017 08:10:00 PM,026XX W 83RD ST,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,0835,18,01A,1160234,1849499,2017,07/20/2017 03:55:01 PM,41.742723745,-87.68848018,"(41.742723745, -87.68848018)"
JA346211,23440,07/13/2017 12:58:00 PM,046XX W AUGUSTA BLVD,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1111,37,01A,1145084,1906251,2017,07/20/2017 03:55:01 PM,41.898757787,-87.742561181,"(41.898757787, -87.742561181)"
JA345734,23439,07/13/2017 02:44:00 AM,031XX W LEXINGTON ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1134,24,01A,1155588,1896533,2017,07/20/2017 03:55:01 PM,41.871885682,-87.704241945,"(41.871885682, -87.704241945)"
JA292115,23337,06/04/2017 12:26:00 PM,025XX W LYNDALE ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,true,1431,1,01A,1158784,1914980,2017,07/20/2017 03:53:12 PM,41.922440953,-87.692001819,"(41.922440953, -87.692001819)"
JA345518,23438,07/12/2017 09:26:00 PM,014XX N KILDARE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,true,2534,37,01A,1147453,1909148,2017,07/19/2017 03:55:33 PM,41.906662363,-87.733785509,"(41.906662363, -87.733785509)"
JA344890,23437,07/12/2017 01:01:00 PM,031XX W FILLMORE ST,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,1134,24,01A,1155414,1895201,2017,07/19/2017 03:55:33 PM,41.868234031,-87.704916575,"(41.868234031, -87.704916575)"
HY282612,21897,05/31/2015 07:48:00 PM,001XX N CICERO AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1113,28,01A,1144352,1900689,2015,07/19/2017 03:52:41 PM,41.883508816,-87.745389793,"(41.883508816, -87.745389793)"
JA343127,23436,07/11/2017 06:26:00 AM,052XX S DR MARTIN LUTHER KING JR DR,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0231,3,01A,1179817,1870259,2017,07/18/2017 03:52:43 PM,41.799266223,-87.616093556,"(41.799266223, -87.616093556)"
JA343087,23435,07/11/2017 04:10:00 AM,083XX S STONY ISLAND AVE,0110,HOMICIDE,FIRST DEGREE MURDER,GAS STATION,false,false,0412,8,01A,1188253,1850180,2017,07/18/2017 03:52:43 PM,41.743970443,-87.585797123,"(41.743970443, -87.585797123)"
JA342438,23434,07/10/2017 05:00:00 PM,013XX E 78TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0411,8,01A,1186323,1853540,2017,07/17/2017 03:54:55 PM,41.753236407,-87.592762763,"(41.753236407, -87.592762763)"
JA341816,23433,07/10/2017 09:32:00 AM,081XX S PAULINA ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0614,18,01A,1166428,1850681,2017,07/17/2017 03:54:55 PM,41.745837711,-87.665751543,"(41.745837711, -87.665751543)"
JA341347,23432,07/09/2017 08:26:00 PM,034XX S WESTERN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0911,12,01A,1160927,1881655,2017,07/16/2017 03:51:39 PM,41.830949864,-87.685052631,"(41.830949864, -87.685052631)"
JA340827,23431,07/09/2017 02:36:00 PM,000XX W 95TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,"CTA ""L"" PLATFORM",false,false,0634,21,01A,1177762,1841949,2017,07/16/2017 03:51:39 PM,41.721627204,-87.624485177,"(41.721627204, -87.624485177)"
JA320296,23389,06/24/2017 05:27:00 AM,016XX N MENARD AVE,0110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,true,true,2531,29,01A,1137502,1910364,2017,07/15/2017 03:49:29 PM,41.910184252,-87.770310746,"(41.910184252, -87.770310746)"
JA337334,23429,07/06/2017 06:31:00 PM,044XX W HADDON AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,1111,37,01A,1146554,1907286,2017,07/13/2017 03:53:17 PM,41.901570034,-87.737135469,"(41.901570034, -87.737135469)"
JA337316,23428,07/06/2017 06:30:00 PM,082XX S CARPENTER ST,0110,HOMICIDE,FIRST DEGREE MURDER,PORCH,false,false,0613,21,01A,1170749,1850202,2017,07/13/2017 03:53:17 PM,41.744430187,-87.649932476,"(41.744430187, -87.649932476)"
JA336634,23427,07/06/2017 11:02:00 AM,085XX S JUSTINE ST,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,0614,21,01A,1167496,1848006,2017,07/13/2017 03:53:17 PM,41.738474324,-87.661914647,"(41.738474324, -87.661914647)"
JA291724,23336,06/04/2017 07:04:00 AM,018XX W MAYPOLE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,PARKING LOT,true,false,1223,27,01A,1164101,1901067,2017,07/13/2017 03:51:14 PM,41.8841519,-87.672859134,"(41.8841519, -87.672859134)"
JA334700,23425,07/05/2017 12:21:00 AM,003XX E 47TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0215,3,01A,1179029,1873926,2017,07/12/2017 03:55:18 PM,41.809346801,-87.618871535,"(41.809346801, -87.618871535)"
JA334811,23424,07/05/2017 03:05:00 AM,079XX S PAULINA ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0611,21,01A,1166391,1852062,2017,07/12/2017 03:55:18 PM,41.74962816,-87.665847864,"(41.74962816, -87.665847864)"
JA334807,23423,07/05/2017 04:25:00 AM,110XX S EBERHART AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0513,9,01A,1181500,1831755,2017,07/12/2017 03:55:18 PM,41.693568267,-87.611106817,"(41.693568267, -87.611106817)"
JA334807,23422,07/05/2017 04:20:00 AM,110XX S EBERHART AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0513,9,01A,1181500,1831755,2017,07/12/2017 03:55:18 PM,41.693568267,-87.611106817,"(41.693568267, -87.611106817)"
JA334881,23421,07/05/2017 04:12:00 AM,062XX S LAFLIN ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0713,16,01A,1167401,1863409,2017,07/12/2017 03:55:18 PM,41.780744266,-87.661822187,"(41.780744266, -87.661822187)"
JA334712,23420,07/05/2017 12:50:00 AM,040XX W LAKE ST,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,1114,28,01A,1149478,1901449,2017,07/12/2017 03:55:18 PM,41.885496427,-87.726546823,"(41.885496427, -87.726546823)"
JA334412,23419,07/05/2017 12:43:00 AM,016XX N MAJOR AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,2531,29,01A,1138148,1910277,2017,07/12/2017 03:55:18 PM,41.909933853,-87.767939666,"(41.909933853, -87.767939666)"
HY534756,10372192,12/12/2015 05:18:00 PM,071XX S CARPENTER ST,0142,HOMICIDE,RECKLESS HOMICIDE,STREET,true,false,0733,17,01B,1170546,1857571,2015,07/10/2017 03:57:27 PM,41.764656108,-87.650461977,"(41.764656108, -87.650461977)"
JA332111,23416,07/02/2017 11:48:00 PM,018XX W HASTINGS ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1233,2,01A,1164313,1893758,2017,07/09/2017 03:51:20 PM,41.864090898,-87.672287353,"(41.864090898, -87.672287353)"
